"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"844",149,"RT @sdrednoticias: Tijuana #Xolos vs LA #Galaxy: 90 minutes to catch up http://t.co/jQVc684KuI #sports",FALSE,0,NA,"2014-03-17 19:06:33",FALSE,NA,"445637329848250368",NA,"web","jonyrico",1,TRUE,FALSE,NA,NA
"2364",174,"Want to own the latest #mobile phone? #Samsung #Galaxy S4; Compare best deals, http://t.co/JzluS0L0IJ",FALSE,0,NA,"2014-03-19 18:32:32",FALSE,NA,"446353542690123776",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","EasyDealMobiles",0,FALSE,FALSE,NA,NA
"3968",295,"FREE phones, Best tariffs, All networks, #Samsung #Galaxy S4; Buy now! http://t.co/JzluS0L0IJ",FALSE,0,NA,"2014-03-24 12:28:03",FALSE,NA,"448073756859432960",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","EasyDealMobiles",0,FALSE,FALSE,NA,NA
"3049",68,"Just get my new galaxy note 3 ready for party with this phone #galaxy #note3",FALSE,0,NA,"2014-03-18 21:17:16",FALSE,NA,"446032613245870080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ivangama92",0,FALSE,FALSE,NA,NA
"4056",84,"#space #galaxy #stars http://t.co/DgET7LgCyi",FALSE,0,NA,"2014-03-25 21:54:12",FALSE,NA,"448578624573431808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OCEAN_912",0,FALSE,FALSE,NA,NA
"2162",271,"#samsung #galaxy #core #duos #flip #cover #made #in bubblebloomshop . @ willson's residence http://t.co/AUchG99q8P",FALSE,0,NA,"2014-03-17 15:16:28",FALSE,NA,"445579428018798592",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","willsonhere",0,FALSE,FALSE,106.57054661,-6.16130824
"3138",58,"Im officially starting to hate my #Samsung #galaxy #grand even though it is helping me with keeping my pockets organized.",FALSE,0,NA,"2014-03-19 22:16:09",FALSE,NA,"446409818354753537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alive2bother",0,FALSE,FALSE,NA,NA
"2201",11,"RT @maximaxoo: #Space: #Andromeda #galaxy in different wavelengths
http://t.co/akW9U8ZYlo via @sagansense http://t.co/LB4kYSn7AX",FALSE,0,NA,"2014-03-19 23:37:42",FALSE,NA,"446430342950703105",NA,"web","KikuVasNormandy",78,TRUE,FALSE,NA,NA
"827",132,"RT @CortesDayna: Fuck missing the #iPhone. The #galaxy has everything better #music #camera #emoji #TeamGalaxys4 http://t.co/NgRBAv9EQJ",FALSE,0,NA,"2014-03-17 19:29:23",FALSE,NA,"445643074153480192",NA,"<a href=""http://twitter.com/247preapproval"" rel=""nofollow"">247Preapproval.com</a>","Dirtemoji",3,TRUE,FALSE,NA,NA
"1137",143,"#Samsung 's GalaxySIII EXPLODED! http://t.co/kdSRXB4upt  http://t.co/LP8GGIpi9C
BUG http://t.co/yrFFRrEV5D
 #BBC #CBS #CNN #Galaxy Korea",FALSE,0,NA,"2014-03-17 19:12:39",FALSE,NA,"445638862547587072",NA,"<a href=""http://www.twisuke.com"" rel=""nofollow"">„ÉÑ„Ç§Âä©„ÄÇ</a>","fukuda_2000",0,FALSE,FALSE,NA,NA
"2419",30,"RT @maximaxoo: #Space: bright #spiral #galaxy Messier 63, the 'Sunflower Galaxy'
http://t.co/AljucahHeu via @apod http://t.co/8SIuwmhGoV",FALSE,0,NA,"2014-03-21 22:44:30",FALSE,NA,"447141728869302272",NA,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry¬Æ</a>","jurylady5",66,TRUE,FALSE,NA,NA
"1090",96,"RT @maximaxoo: #Space: barred #spiral #galaxy NGC 1300 and its striking dominant central bar
‚ñ∂http://t.co/8zEQC3Tvxo via @apod http://t.co/‚Ä¶",FALSE,0,NA,"2014-03-17 20:31:33",FALSE,NA,"445658722233491456",NA,"web","gwenewer",45,TRUE,FALSE,NA,NA
"1613",21,"If you get me these I know it's real Ì†ΩÌ∏ç‚öΩÔ∏è‚ù§Ô∏è #galaxy http://t.co/XzOC5Hnu3D",FALSE,0,NA,"2014-03-17 23:05:42",FALSE,NA,"445697512247025664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_haleeek_",0,FALSE,FALSE,NA,NA
"339",42,"Looking for the latest Pay Monthly phone? Samsung #Galaxy 3 Mini; See deals now! http://t.co/JzluS0L0IJ",FALSE,0,NA,"2014-03-17 22:24:50",FALSE,NA,"445687230682890240",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","EasyDealMobiles",0,FALSE,FALSE,NA,NA
"3541",66,"Shoes.c: #day22 #marchphotochallenge #wantsobad #infinity #galaxy #vans http://t.co/vrsPTbe3Uw",FALSE,0,NA,"2014-03-22 22:34:58",FALSE,NA,"447501717794725889",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JessicaDawnX3",0,FALSE,FALSE,NA,NA
"50",50,"RT @PrtSkinDigital: Marble Texture Digital Paper Pack http://t.co/CnBLpK60ay #galaxy #moon #background #texture #scrapbooking #crafts #bizi‚Ä¶",FALSE,0,NA,"2014-03-18 16:32:41",FALSE,NA,"445960996365287424",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","scrappily_chic",1,TRUE,FALSE,NA,NA
